InputPower,OutputPowerWithoutDelay,Previous1OutputPower,Previous2OutputPower,Previous3OutputPower,,
9.99E-06,8.97E-07,2.01E-06,1.38E-06,1.33E-06,,
9.99E-06,5.31E-07,8.97E-07,2.01E-06,1.38E-06,,
9.99E-06,7.93E-07,5.31E-07,8.97E-07,2.01E-06,,
9.99E-06,9.81E-07,7.93E-07,5.31E-07,8.97E-07,,
9.99E-06,1.35E-06,9.81E-07,7.93E-07,5.31E-07,,
9.99E-06,1.97E-06,1.35E-06,9.81E-07,7.93E-07,,
9.99E-06,2.10E-06,1.97E-06,1.35E-06,9.81E-07,,
9.99E-06,3.18E-07,2.10E-06,1.97E-06,1.35E-06,,
9.99E-06,6.02E-08,3.18E-07,2.10E-06,1.97E-06,,
9.99E-06,1.73E-06,6.02E-08,3.18E-07,2.10E-06,,
9.99E-06,2.77E-06,1.73E-06,6.02E-08,3.18E-07,,
9.99E-06,3.69E-06,2.77E-06,1.73E-06,6.02E-08,,
9.99E-06,1.35E-06,3.69E-06,2.77E-06,1.73E-06,,
9.99E-06,3.47E-08,1.35E-06,3.69E-06,2.77E-06,,
9.99E-06,9.51E-07,3.47E-08,1.35E-06,3.69E-06,,
9.99E-06,2.12E-06,9.51E-07,3.47E-08,1.35E-06,,
9.99E-06,3.61E-06,2.12E-06,9.51E-07,3.47E-08,,
9.99E-06,1.90E-06,3.61E-06,2.12E-06,9.51E-07,,
9.99E-06,3.94E-07,1.90E-06,3.61E-06,2.12E-06,,
9.99E-06,2.84E-07,3.94E-07,1.90E-06,3.61E-06,,
9.99E-06,1.02E-06,2.84E-07,3.94E-07,1.90E-06,,
9.99E-06,1.96E-06,1.02E-06,2.84E-07,3.94E-07,,
9.99E-06,2.28E-06,1.96E-06,1.02E-06,2.84E-07,,
9.99E-06,1.04E-06,2.28E-06,1.96E-06,1.02E-06,,
9.99E-06,5.24E-07,1.04E-06,2.28E-06,1.96E-06,,
9.99E-06,7.88E-07,5.24E-07,1.04E-06,2.28E-06,,
9.99E-06,1.50E-06,7.88E-07,5.24E-07,1.04E-06,,
9.99E-06,5.82E-07,1.50E-06,7.88E-07,5.24E-07,,
9.99E-06,1.08E-06,5.82E-07,1.50E-06,7.88E-07,,
9.99E-06,2.69E-06,1.08E-06,5.82E-07,1.50E-06,,
9.99E-06,1.68E-06,2.69E-06,1.08E-06,5.82E-07,,
9.99E-06,5.42E-07,1.68E-06,2.69E-06,1.08E-06,,
9.99E-06,4.25E-07,5.42E-07,1.68E-06,2.69E-06,,
9.99E-06,9.36E-07,4.25E-07,5.42E-07,1.68E-06,,
9.99E-06,1.23E-06,9.36E-07,4.25E-07,5.42E-07,,
9.99E-06,1.77E-06,1.23E-06,9.36E-07,4.25E-07,,
9.99E-06,1.59E-06,1.77E-06,1.23E-06,9.36E-07,,
9.99E-06,1.49E-06,1.59E-06,1.77E-06,1.23E-06,,
9.99E-06,1.25E-07,1.49E-06,1.59E-06,1.77E-06,,
9.99E-06,6.95E-07,1.25E-07,1.49E-06,1.59E-06,,
9.99E-06,1.80E-06,6.95E-07,1.25E-07,1.49E-06,,
9.99E-06,1.49E-06,1.80E-06,6.95E-07,1.25E-07,,
9.99E-06,1.43E-06,1.49E-06,1.80E-06,6.95E-07,,
9.99E-06,1.05E-06,1.43E-06,1.49E-06,1.80E-06,,
9.99E-06,1.12E-06,1.05E-06,1.43E-06,1.49E-06,,
9.99E-06,7.51E-07,1.12E-06,1.05E-06,1.43E-06,,
9.99E-06,3.87E-07,7.51E-07,1.12E-06,1.05E-06,,
9.99E-06,9.29E-07,3.87E-07,7.51E-07,1.12E-06,,
9.99E-06,2.08E-06,9.29E-07,3.87E-07,7.51E-07,,
9.99E-06,2.90E-06,2.08E-06,9.29E-07,3.87E-07,,
9.99E-06,1.63E-06,2.90E-06,2.08E-06,9.29E-07,,
9.99E-06,6.55E-07,1.63E-06,2.90E-06,2.08E-06,,
9.99E-06,1.49E-07,6.55E-07,1.63E-06,2.90E-06,,
9.99E-06,9.76E-07,1.49E-07,6.55E-07,1.63E-06,,
9.99E-06,3.80E-06,9.76E-07,1.49E-07,6.55E-07,,
9.99E-06,3.79E-06,3.80E-06,9.76E-07,1.49E-07,,
9.99E-06,1.96E-06,3.79E-06,3.80E-06,9.76E-07,,
9.99E-06,3.80E-07,1.96E-06,3.79E-06,3.80E-06,,
9.99E-06,5.19E-08,3.80E-07,1.96E-06,3.79E-06,,
9.99E-06,1.12E-06,5.19E-08,3.80E-07,1.96E-06,,
9.99E-06,2.54E-06,1.12E-06,5.19E-08,3.80E-07,,
9.99E-06,2.81E-06,2.54E-06,1.12E-06,5.19E-08,,
9.99E-06,2.25E-06,2.81E-06,2.54E-06,1.12E-06,,
9.99E-06,7.03E-07,2.25E-06,2.81E-06,2.54E-06,,
9.99E-06,2.53E-07,7.03E-07,2.25E-06,2.81E-06,,
9.99E-06,7.68E-07,2.53E-07,7.03E-07,2.25E-06,,
9.99E-06,2.24E-06,7.68E-07,2.53E-07,7.03E-07,,
9.99E-06,2.54E-06,2.24E-06,7.68E-07,2.53E-07,,
9.99E-06,8.42E-07,2.54E-06,2.24E-06,7.68E-07,,
9.99E-06,7.01E-07,8.42E-07,2.54E-06,2.24E-06,,
9.99E-06,1.92E-06,7.01E-07,8.42E-07,2.54E-06,,
9.99E-06,1.73E-06,1.92E-06,7.01E-07,8.42E-07,,
9.99E-06,5.02E-07,1.73E-06,1.92E-06,7.01E-07,,
9.99E-06,3.46E-07,5.02E-07,1.73E-06,1.92E-06,,
9.99E-06,1.67E-06,3.46E-07,5.02E-07,1.73E-06,,
9.99E-06,1.99E-06,1.67E-06,3.46E-07,5.02E-07,,
9.99E-06,1.80E-06,1.99E-06,1.67E-06,3.46E-07,,
9.99E-06,1.38E-06,1.80E-06,1.99E-06,1.67E-06,,
9.99E-06,1.35E-06,1.38E-06,1.80E-06,1.99E-06,,
9.99E-06,3.81E-07,1.35E-06,1.38E-06,1.80E-06,,
9.99E-06,3.06E-07,3.81E-07,1.35E-06,1.38E-06,,
9.99E-06,1.45E-06,3.06E-07,3.81E-07,1.35E-06,,
9.99E-06,2.57E-06,1.45E-06,3.06E-07,3.81E-07,,
9.99E-06,1.82E-06,2.57E-06,1.45E-06,3.06E-07,,
9.99E-06,1.37E-06,1.82E-06,2.57E-06,1.45E-06,,
9.99E-06,9.27E-07,1.37E-06,1.82E-06,2.57E-06,,
9.99E-06,5.16E-07,9.27E-07,1.37E-06,1.82E-06,,
9.99E-06,6.80E-07,5.16E-07,9.27E-07,1.37E-06,,
9.99E-06,7.95E-07,6.80E-07,5.16E-07,9.27E-07,,
9.99E-06,7.36E-07,7.95E-07,6.80E-07,5.16E-07,,
9.99E-06,2.69E-06,7.36E-07,7.95E-07,6.80E-07,,
9.99E-06,3.05E-06,2.69E-06,7.36E-07,7.95E-07,,
9.99E-06,2.09E-06,3.05E-06,2.69E-06,7.36E-07,,
9.99E-06,1.32E-06,2.09E-06,3.05E-06,2.69E-06,,
9.99E-06,2.18E-09,1.32E-06,2.09E-06,3.05E-06,,
9.99E-06,4.83E-07,2.18E-09,1.32E-06,2.09E-06,,
9.99E-06,2.84E-06,4.83E-07,2.18E-09,1.32E-06,,
9.99E-06,4.62E-06,2.84E-06,4.83E-07,2.18E-09,,
9.99E-06,4.83E-06,4.62E-06,2.84E-06,4.83E-07,,
9.99E-06,2.17E-06,4.83E-06,4.62E-06,2.84E-06,,
9.99E-06,5.04E-07,2.17E-06,4.83E-06,4.62E-06,,
9.99E-06,1.89E-07,5.04E-07,2.17E-06,4.83E-06,,
9.99E-06,8.38E-07,1.89E-07,5.04E-07,2.17E-06,,
9.99E-06,3.17E-06,8.38E-07,1.89E-07,5.04E-07,,
9.99E-06,3.77E-06,3.17E-06,8.38E-07,1.89E-07,,
9.99E-06,2.99E-06,3.77E-06,3.17E-06,8.38E-07,,
9.99E-06,1.31E-06,2.99E-06,3.77E-06,3.17E-06,,
9.99E-06,4.62E-07,1.31E-06,2.99E-06,3.77E-06,,
9.99E-06,8.36E-08,4.62E-07,1.31E-06,2.99E-06,,
9.99E-06,1.12E-06,8.36E-08,4.62E-07,1.31E-06,,
9.99E-06,2.61E-06,1.12E-06,8.36E-08,4.62E-07,,
9.99E-06,2.05E-06,2.61E-06,1.12E-06,8.36E-08,,
9.99E-06,6.52E-07,2.05E-06,2.61E-06,1.12E-06,,
9.99E-06,7.46E-07,6.52E-07,2.05E-06,2.61E-06,,
9.99E-06,1.84E-06,7.46E-07,6.52E-07,2.05E-06,,
9.99E-06,2.11E-06,1.84E-06,7.46E-07,6.52E-07,,
9.99E-06,4.33E-07,2.11E-06,1.84E-06,7.46E-07,,
9.99E-06,2.12E-07,4.33E-07,2.11E-06,1.84E-06,,
9.99E-06,1.18E-06,2.12E-07,4.33E-07,2.11E-06,,
9.99E-06,1.74E-06,1.18E-06,2.12E-07,4.33E-07,,
9.99E-06,1.29E-06,1.74E-06,1.18E-06,2.12E-07,,
9.99E-06,2.07E-06,1.29E-06,1.74E-06,1.18E-06,,
9.99E-06,2.00E-06,2.07E-06,1.29E-06,1.74E-06,,
9.99E-06,1.31E-06,2.00E-06,2.07E-06,1.29E-06,,
9.99E-06,2.67E-07,1.31E-06,2.00E-06,2.07E-06,,
9.99E-06,2.25E-07,2.67E-07,1.31E-06,2.00E-06,,
9.99E-06,1.28E-06,2.25E-07,2.67E-07,1.31E-06,,
9.99E-06,1.56E-06,1.28E-06,2.25E-07,2.67E-07,,
9.99E-06,2.24E-06,1.56E-06,1.28E-06,2.25E-07,,
9.99E-06,1.72E-06,2.24E-06,1.56E-06,1.28E-06,,
9.99E-06,1.01E-06,1.72E-06,2.24E-06,1.56E-06,,
9.99E-06,1.39E-06,1.01E-06,1.72E-06,2.24E-06,,
9.99E-06,1.20E-06,1.39E-06,1.01E-06,1.72E-06,,
9.99E-06,3.41E-07,1.20E-06,1.39E-06,1.01E-06,,
9.99E-06,1.35E-07,3.41E-07,1.20E-06,1.39E-06,,
9.99E-06,7.14E-07,1.35E-07,3.41E-07,1.20E-06,,
9.99E-06,2.35E-06,7.14E-07,1.35E-07,3.41E-07,,
9.99E-06,4.41E-06,2.35E-06,7.14E-07,1.35E-07,,
9.99E-06,5.07E-06,4.41E-06,2.35E-06,7.14E-07,,
9.99E-06,3.16E-06,5.07E-06,4.41E-06,2.35E-06,,
9.99E-06,1.07E-06,3.16E-06,5.07E-06,4.41E-06,,
9.99E-06,2.33E-07,1.07E-06,3.16E-06,5.07E-06,,
9.99E-06,1.57E-06,2.33E-07,1.07E-06,3.16E-06,,
9.99E-06,2.77E-06,1.57E-06,2.33E-07,1.07E-06,,
9.99E-06,4.58E-06,2.77E-06,1.57E-06,2.33E-07,,
9.99E-06,5.36E-06,4.58E-06,2.77E-06,1.57E-06,,
9.99E-06,3.84E-06,5.36E-06,4.58E-06,2.77E-06,,
9.99E-06,1.58E-06,3.84E-06,5.36E-06,4.58E-06,,
9.99E-06,1.36E-07,1.58E-06,3.84E-06,5.36E-06,,
9.99E-06,2.06E-07,1.36E-07,1.58E-06,3.84E-06,,
9.99E-06,1.00E-06,2.06E-07,1.36E-07,1.58E-06,,
9.99E-06,2.53E-06,1.00E-06,2.06E-07,1.36E-07,,
9.99E-06,3.22E-06,2.53E-06,1.00E-06,2.06E-07,,
9.99E-06,3.01E-06,3.22E-06,2.53E-06,1.00E-06,,
9.99E-06,1.47E-06,3.01E-06,3.22E-06,2.53E-06,,
9.99E-06,3.69E-07,1.47E-06,3.01E-06,3.22E-06,,
9.99E-06,1.03E-06,3.69E-07,1.47E-06,3.01E-06,,
9.99E-06,2.37E-06,1.03E-06,3.69E-07,1.47E-06,,
9.99E-06,1.07E-06,2.37E-06,1.03E-06,3.69E-07,,
9.99E-06,1.58E-07,1.07E-06,2.37E-06,1.03E-06,,
9.99E-06,8.07E-07,1.58E-07,1.07E-06,2.37E-06,,
9.99E-06,2.06E-06,8.07E-07,1.58E-07,1.07E-06,,
9.99E-06,2.24E-06,2.06E-06,8.07E-07,1.58E-07,,
9.99E-06,1.79E-06,2.24E-06,2.06E-06,8.07E-07,,
9.99E-06,1.67E-06,1.79E-06,2.24E-06,2.06E-06,,
9.99E-06,2.05E-06,1.67E-06,1.79E-06,2.24E-06,,
9.99E-06,1.62E-06,2.05E-06,1.67E-06,1.79E-06,,
9.99E-06,3.14E-07,1.62E-06,2.05E-06,1.67E-06,,
9.99E-06,6.32E-08,3.14E-07,1.62E-06,2.05E-06,,
9.99E-06,1.04E-06,6.32E-08,3.14E-07,1.62E-06,,
9.99E-06,2.14E-06,1.04E-06,6.32E-08,3.14E-07,,
9.99E-06,2.35E-06,2.14E-06,1.04E-06,6.32E-08,,
9.99E-06,2.18E-06,2.35E-06,2.14E-06,1.04E-06,,
9.99E-06,1.42E-06,2.18E-06,2.35E-06,2.14E-06,,
9.99E-06,1.38E-06,1.42E-06,2.18E-06,2.35E-06,,
9.99E-06,2.16E-06,1.38E-06,1.42E-06,2.18E-06,,
9.99E-06,2.09E-06,2.16E-06,1.38E-06,1.42E-06,,
9.99E-06,3.34E-07,2.09E-06,2.16E-06,1.38E-06,,
9.99E-06,7.38E-09,3.34E-07,2.09E-06,2.16E-06,,
9.99E-06,6.93E-07,7.38E-09,3.34E-07,2.09E-06,,
9.99E-06,3.15E-06,6.93E-07,7.38E-09,3.34E-07,,
9.99E-06,4.82E-06,3.15E-06,6.93E-07,7.38E-09,,
9.99E-06,5.73E-06,4.82E-06,3.15E-06,6.93E-07,,
9.99E-06,5.35E-06,5.73E-06,4.82E-06,3.15E-06,,
9.99E-06,4.47E-06,5.35E-06,5.73E-06,4.82E-06,,
9.99E-06,1.68E-06,4.47E-06,5.35E-06,5.73E-06,,
9.99E-06,3.88E-07,1.68E-06,4.47E-06,5.35E-06,,
9.99E-06,8.30E-07,3.88E-07,1.68E-06,4.47E-06,,
9.99E-06,2.22E-06,8.30E-07,3.88E-07,1.68E-06,,
9.99E-06,4.21E-06,2.22E-06,8.30E-07,3.88E-07,,
9.99E-06,5.31E-06,4.21E-06,2.22E-06,8.30E-07,,
9.99E-06,5.36E-06,5.31E-06,4.21E-06,2.22E-06,,
9.99E-06,3.34E-06,5.36E-06,5.31E-06,4.21E-06,,
9.99E-06,1.68E-06,3.34E-06,5.36E-06,5.31E-06,,
9.99E-06,4.51E-07,1.68E-06,3.34E-06,5.36E-06,,
9.99E-06,1.57E-08,4.51E-07,1.68E-06,3.34E-06,,
9.99E-06,7.31E-07,1.57E-08,4.51E-07,1.68E-06,,
9.99E-06,2.57E-06,7.31E-07,1.57E-08,4.51E-07,,
9.99E-06,2.71E-06,2.57E-06,7.31E-07,1.57E-08,,
9.99E-06,1.78E-06,2.71E-06,2.57E-06,7.31E-07,,
9.99E-06,7.62E-08,1.78E-06,2.71E-06,2.57E-06,,
9.99E-06,1.41E-06,7.62E-08,1.78E-06,2.71E-06,,
9.99E-06,3.44E-06,1.41E-06,7.62E-08,1.78E-06,,
9.99E-06,4.16E-06,3.44E-06,1.41E-06,7.62E-08,,
9.99E-06,2.06E-06,4.16E-06,3.44E-06,1.41E-06,,
9.99E-06,7.25E-07,2.06E-06,4.16E-06,3.44E-06,,
9.99E-06,3.28E-07,7.25E-07,2.06E-06,4.16E-06,,
9.99E-06,8.75E-07,3.28E-07,7.25E-07,2.06E-06,,
