Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength
3.96875,9.99E-07,3.85E-07,,3.93E-07,20
3.984375,9.99E-07,4.08E-07,,4.05E-07,20
4,9.99E-07,4.19E-07,,3.94E-07,20
4.015625,9.99E-07,3.93E-07,,3.75E-07,20
4.03125,9.99E-07,3.78E-07,,3.88E-07,20
4.046875,9.99E-07,3.95E-07,,4.09E-07,20
4.0625,9.99E-07,3.96E-07,,4.00E-07,20
4.078125,9.99E-07,3.76E-07,,3.78E-07,20
4.09375,9.99E-07,3.78E-07,,3.85E-07,20
4.109375,9.99E-07,3.99E-07,,4.11E-07,20
4.125,9.99E-07,4.03E-07,,4.23E-07,20
4.140625,9.99E-07,3.83E-07,,4.01E-07,20
4.15625,9.99E-07,3.73E-07,,4.07E-07,20
4.171875,9.99E-07,4.05E-07,,4.32E-07,20
4.1875,9.99E-07,4.19E-07,,4.42E-07,20
4.203125,9.99E-07,3.89E-07,,4.20E-07,20
4.21875,9.99E-07,3.85E-07,,4.24E-07,20
4.234375,9.99E-07,4.10E-07,,4.40E-07,20
4.25,9.99E-07,4.14E-07,,4.51E-07,20
4.265625,9.99E-07,3.96E-07,,4.27E-07,20
4.28125,9.99E-07,3.86E-07,,4.23E-07,20
4.296875,9.99E-07,4.09E-07,,4.47E-07,20
4.3125,9.99E-07,4.10E-07,,4.51E-07,20
4.328125,9.99E-07,3.91E-07,,4.25E-07,20
4.34375,9.99E-07,3.62E-07,,4.16E-07,20
4.359375,9.99E-07,3.87E-07,,4.38E-07,20
4.375,9.99E-07,4.12E-07,,4.39E-07,20
4.390625,9.99E-07,4.00E-07,,4.03E-07,20
4.40625,9.99E-07,3.74E-07,,4.01E-07,20
4.421875,9.99E-07,3.84E-07,,4.37E-07,20
4.4375,9.99E-07,4.16E-07,,4.38E-07,20
4.453125,9.99E-07,4.13E-07,,4.12E-07,20
4.46875,9.99E-07,3.99E-07,,4.20E-07,20
4.484375,9.99E-07,3.98E-07,,4.36E-07,20
4.5,9.99E-07,4.28E-07,,4.23E-07,20
4.515625,9.99E-07,4.26E-07,,3.85E-07,20
4.53125,9.99E-07,4.00E-07,,3.93E-07,20
4.546875,9.99E-07,3.89E-07,,4.00E-07,20
4.5625,9.99E-07,4.15E-07,,3.84E-07,20
4.578125,9.99E-07,4.30E-07,,3.65E-07,20
4.59375,9.99E-07,4.12E-07,,3.78E-07,20
4.609375,9.99E-07,3.84E-07,,3.94E-07,20
4.625,9.99E-07,3.83E-07,,3.73E-07,20
4.640625,9.99E-07,4.10E-07,,3.62E-07,20
4.65625,9.99E-07,3.99E-07,,3.96E-07,20
4.671875,9.99E-07,3.70E-07,,4.01E-07,20
4.6875,9.99E-07,3.47E-07,,3.76E-07,20
4.703125,9.99E-07,3.77E-07,,3.77E-07,20
4.71875,9.99E-07,3.91E-07,,4.00E-07,20
4.734375,9.99E-07,3.82E-07,,4.04E-07,20
4.75,9.99E-07,3.62E-07,,3.87E-07,20
4.765625,9.99E-07,3.61E-07,,4.04E-07,20
4.78125,9.99E-07,3.92E-07,,4.18E-07,20
4.796875,9.99E-07,4.16E-07,,3.84E-07,20
4.8125,9.99E-07,3.95E-07,,3.68E-07,20
4.828125,9.99E-07,3.74E-07,,3.99E-07,20
4.84375,9.99E-07,3.88E-07,,3.90E-07,20
4.859375,9.99E-07,4.13E-07,,3.62E-07,20
4.875,9.99E-07,4.16E-07,,3.85E-07,20
4.890625,9.99E-07,3.79E-07,,4.10E-07,20
4.90625,9.99E-07,3.66E-07,,3.92E-07,20
4.921875,9.99E-07,3.91E-07,,3.89E-07,20
4.9375,9.99E-07,4.16E-07,,4.19E-07,20
4.953125,9.99E-07,4.16E-07,,4.13E-07,20
4.96875,9.99E-07,3.85E-07,,3.84E-07,20
4.984375,9.99E-07,3.75E-07,,4.01E-07,20
5,9.99E-07,4.04E-07,,4.22E-07,20
5.015625,9.99E-07,4.27E-07,,3.94E-07,20
5.03125,9.99E-07,4.28E-07,,3.95E-07,20
5.046875,9.99E-07,4.05E-07,,4.11E-07,20
5.0625,9.99E-07,3.98E-07,,4.00E-07,20
5.078125,9.99E-07,4.17E-07,,3.89E-07,20
5.09375,9.99E-07,4.38E-07,,4.05E-07,20
5.109375,9.99E-07,4.27E-07,,4.12E-07,20
5.125,9.99E-07,3.94E-07,,3.85E-07,20
5.140625,9.99E-07,3.85E-07,,3.99E-07,20
5.15625,9.99E-07,4.10E-07,,4.25E-07,20
5.171875,9.99E-07,4.33E-07,,4.10E-07,20
5.1875,9.99E-07,4.22E-07,,3.88E-07,20
5.203125,9.99E-07,3.96E-07,,4.19E-07,20
5.21875,9.99E-07,3.76E-07,,4.15E-07,20
5.234375,9.99E-07,3.83E-07,,3.92E-07,20
5.25,9.99E-07,3.97E-07,,4.09E-07,20
5.265625,9.99E-07,4.04E-07,,4.10E-07,20
5.28125,9.99E-07,3.81E-07,,3.78E-07,20
5.296875,9.99E-07,3.62E-07,,3.92E-07,20
5.3125,9.99E-07,3.63E-07,,4.05E-07,20
5.328125,9.99E-07,3.84E-07,,3.71E-07,20
5.34375,9.99E-07,3.99E-07,,3.79E-07,20
5.359375,9.99E-07,3.89E-07,,4.12E-07,20
5.375,9.99E-07,3.71E-07,,3.92E-07,20
5.390625,9.99E-07,3.57E-07,,3.77E-07,20
5.40625,9.99E-07,3.74E-07,,4.11E-07,20
5.421875,9.99E-07,4.05E-07,,4.04E-07,20
5.4375,9.99E-07,4.17E-07,,3.90E-07,20
5.453125,9.99E-07,4.00E-07,,4.13E-07,20
5.46875,9.99E-07,3.77E-07,,4.00E-07,20
5.484375,9.99E-07,3.74E-07,,3.71E-07,20
5.5,9.99E-07,3.94E-07,,3.96E-07,20
5.515625,9.99E-07,4.16E-07,,4.00E-07,20
5.53125,9.99E-07,4.13E-07,,3.77E-07,20
5.546875,9.99E-07,3.91E-07,,4.08E-07,20
5.5625,9.99E-07,3.67E-07,,4.28E-07,20
5.578125,9.99E-07,3.64E-07,,3.96E-07,20
5.59375,9.99E-07,3.93E-07,,4.18E-07,20
5.609375,9.99E-07,4.22E-07,,4.21E-07,20
5.625,9.99E-07,4.21E-07,,3.91E-07,20
5.640625,9.99E-07,3.91E-07,,3.96E-07,20
5.65625,9.99E-07,3.57E-07,,4.05E-07,20
5.671875,9.99E-07,3.55E-07,,3.83E-07,20
5.6875,9.99E-07,3.81E-07,,4.02E-07,20
5.703125,9.99E-07,4.18E-07,,4.13E-07,20
5.71875,9.99E-07,4.21E-07,,3.84E-07,20
5.734375,9.99E-07,4.07E-07,,4.00E-07,20
5.75,9.99E-07,3.91E-07,,4.16E-07,20
5.765625,9.99E-07,3.85E-07,,3.97E-07,20
5.78125,9.99E-07,3.99E-07,,3.94E-07,20
5.796875,9.99E-07,4.27E-07,,4.02E-07,20
5.8125,9.99E-07,4.46E-07,,3.88E-07,20
5.828125,9.99E-07,4.32E-07,,4.03E-07,20
5.84375,9.99E-07,4.04E-07,,4.22E-07,20
5.859375,9.99E-07,3.85E-07,,3.83E-07,20
5.875,9.99E-07,3.94E-07,,3.97E-07,20
5.890625,9.99E-07,4.26E-07,,4.07E-07,20
5.90625,9.99E-07,4.42E-07,,3.80E-07,20
5.921875,9.99E-07,4.39E-07,,3.97E-07,20
5.9375,9.99E-07,4.14E-07,,4.00E-07,20
5.953125,9.99E-07,3.89E-07,,3.73E-07,20
5.96875,9.99E-07,3.72E-07,,3.80E-07,20
5.984375,9.99E-07,3.87E-07,,3.79E-07,20
6,9.99E-07,4.10E-07,,3.64E-07,20
6.015625,9.99E-07,4.32E-07,,3.83E-07,20
6.03125,9.99E-07,4.23E-07,,3.75E-07,20
6.046875,9.99E-07,4.03E-07,,3.57E-07,20
6.0625,9.99E-07,3.80E-07,,3.88E-07,20
6.078125,9.99E-07,3.69E-07,,3.68E-07,20
6.09375,9.99E-07,3.82E-07,,3.70E-07,20
6.109375,9.99E-07,4.01E-07,,3.90E-07,20
6.125,9.99E-07,4.25E-07,,3.79E-07,20
6.140625,9.99E-07,4.28E-07,,3.71E-07,20
6.15625,9.99E-07,4.16E-07,,3.98E-07,20
6.171875,9.99E-07,3.95E-07,,3.81E-07,20
6.1875,9.99E-07,3.82E-07,,3.94E-07,20
6.203125,9.99E-07,3.75E-07,,4.05E-07,20
6.21875,9.99E-07,3.98E-07,,3.76E-07,20
6.234375,9.99E-07,4.27E-07,,4.00E-07,20
6.25,9.99E-07,4.42E-07,,3.99E-07,20
6.265625,9.99E-07,4.35E-07,,3.88E-07,20
6.28125,9.99E-07,4.09E-07,,4.16E-07,20
6.296875,9.99E-07,3.80E-07,,4.05E-07,20
6.3125,9.99E-07,3.62E-07,,4.02E-07,20
6.328125,9.99E-07,3.68E-07,,4.26E-07,20
6.34375,9.99E-07,3.92E-07,,4.03E-07,20
6.359375,9.99E-07,4.18E-07,,4.13E-07,20
6.375,9.99E-07,4.35E-07,,4.36E-07,20
6.390625,9.99E-07,4.30E-07,,4.11E-07,20
6.40625,9.99E-07,4.15E-07,,4.26E-07,20
6.421875,9.99E-07,3.91E-07,,4.23E-07,20
6.4375,9.99E-07,3.73E-07,,4.14E-07,20
6.453125,9.99E-07,3.76E-07,,4.33E-07,20
6.46875,9.99E-07,3.90E-07,,4.01E-07,20
6.484375,9.99E-07,4.18E-07,,3.99E-07,20
6.5,9.99E-07,4.43E-07,,4.16E-07,20
6.515625,9.99E-07,4.44E-07,,3.84E-07,20
6.53125,9.99E-07,4.31E-07,,4.13E-07,20
6.546875,9.99E-07,3.93E-07,,4.08E-07,20
6.5625,9.99E-07,3.68E-07,,4.03E-07,20
6.578125,9.99E-07,3.59E-07,,4.22E-07,20
6.59375,9.99E-07,3.64E-07,,3.90E-07,20
6.609375,9.99E-07,3.86E-07,,3.92E-07,20
6.625,9.99E-07,4.09E-07,,4.01E-07,20
6.640625,9.99E-07,4.34E-07,,3.82E-07,20
6.65625,9.99E-07,4.38E-07,,4.02E-07,20
6.671875,9.99E-07,4.33E-07,,3.78E-07,20
6.6875,9.99E-07,4.18E-07,,3.87E-07,20
6.703125,9.99E-07,3.88E-07,,3.99E-07,20
6.71875,9.99E-07,3.68E-07,,3.77E-07,20
6.734375,9.99E-07,3.76E-07,,3.99E-07,20
6.75,9.99E-07,3.90E-07,,3.88E-07,20
6.765625,9.99E-07,4.13E-07,,3.68E-07,20
6.78125,9.99E-07,4.31E-07,,3.95E-07,20
6.796875,9.99E-07,4.46E-07,,3.63E-07,20
6.8125,9.99E-07,4.49E-07,,3.78E-07,20
6.828125,9.99E-07,4.37E-07,,3.68E-07,20
6.84375,9.99E-07,4.17E-07,,3.61E-07,20
6.859375,9.99E-07,3.87E-07,,3.85E-07,20
6.875,9.99E-07,3.57E-07,,3.70E-07,20
6.890625,9.99E-07,3.43E-07,,3.88E-07,20
6.90625,9.99E-07,3.45E-07,,3.83E-07,20
6.921875,9.99E-07,3.69E-07,,3.67E-07,20
6.9375,9.99E-07,3.88E-07,,3.96E-07,20
6.953125,9.99E-07,4.05E-07,,3.70E-07,20
6.96875,9.99E-07,4.15E-07,,3.91E-07,20
6.984375,9.99E-07,4.23E-07,,3.89E-07,20
7,9.99E-07,4.13E-07,,3.79E-07,20
7.015625,9.99E-07,3.99E-07,,4.00E-07,20
7.03125,9.99E-07,3.79E-07,,3.80E-07,20
7.046875,9.99E-07,3.60E-07,,3.97E-07,20
7.0625,9.99E-07,3.51E-07,,3.97E-07,20
7.078125,9.99E-07,3.51E-07,,3.79E-07,20
7.09375,9.99E-07,3.64E-07,,4.16E-07,20
7.109375,9.99E-07,3.81E-07,,3.98E-07,20
7.125,9.99E-07,4.10E-07,,4.24E-07,20
7.140625,9.99E-07,4.37E-07,,4.23E-07,20
7.15625,9.99E-07,4.61E-07,,4.16E-07,20
7.171875,9.99E-07,4.74E-07,,4.24E-07,20
7.1875,9.99E-07,4.71E-07,,4.00E-07,20
7.203125,9.99E-07,4.43E-07,,4.30E-07,20
7.21875,9.99E-07,4.16E-07,,4.01E-07,20
7.234375,9.99E-07,3.80E-07,,4.12E-07,20
7.25,9.99E-07,3.57E-07,,4.11E-07,20
7.265625,9.99E-07,3.40E-07,,3.90E-07,20
7.28125,9.99E-07,3.32E-07,,4.10E-07,20
7.296875,9.99E-07,3.43E-07,,3.92E-07,20
7.3125,9.99E-07,3.53E-07,,4.09E-07,20
7.328125,9.99E-07,3.71E-07,,3.96E-07,20
7.34375,9.99E-07,3.98E-07,,4.03E-07,20
7.359375,9.99E-07,4.29E-07,,4.04E-07,20
7.375,9.99E-07,4.48E-07,,3.87E-07,20
7.390625,9.99E-07,4.57E-07,,4.08E-07,20
7.40625,9.99E-07,4.58E-07,,3.71E-07,20
7.421875,9.99E-07,4.41E-07,,3.96E-07,20
7.4375,9.99E-07,4.22E-07,,3.77E-07,20
7.453125,9.99E-07,4.08E-07,,3.72E-07,20
7.46875,9.99E-07,3.78E-07,,3.91E-07,20
7.484375,9.99E-07,3.52E-07,,3.69E-07,20
7.5,9.99E-07,3.27E-07,,4.02E-07,20
7.515625,9.99E-07,3.14E-07,,3.77E-07,20
